"NombreMunicipio","CodigoMunicipio","Ubicación","NombreRegion","CodigoRegion","Anio","CausaMortalidad","TipoPoblacionObjetivo","NumeroPoblacionObjetivo","NumeroCasos"
"Puerto Nare","05585","POINT (-74.581675 6.187952)","MAGDALENA MEDIO","3","2006","Suicidios","Poblacion total","15,095","1"
"Puerto Triunfo","05591","POINT (-74.640079 5.87335)","MAGDALENA MEDIO","3","2006","Suicidios","Poblacion total","14,439","3"
"Remedios","05604","POINT (-74.69368 7.02808)","NORDESTE","4","2006","Suicidios","Poblacion total","25,033","2"
"Rionegro","05615","POINT (-75.373872 6.153548)","ORIENTE","7","2006","Suicidios","Poblacion total","107,855","3"
"Sabanalarga","05628","POINT (-75.818245 6.850482)","OCCIDENTE","6","2006","Suicidios","Poblacion total","8,565","0"
"Sabaneta","05631","POINT (-75.615491 6.15156)","VALLE DE ABURRA","1","2006","Suicidios","Poblacion total","59,931","1"
"Salgar","05642","POINT (-75.979184 5.963438)","SUROESTE","8","2006","Suicidios","Poblacion total","19,726","1"
"San Andrés de Cuerquia","05647","POINT (-75.67649 6.914739)","NORTE","5","2006","Suicidios","Poblacion total","7,670","0"
"San Carlos","05649","POINT (-74.992086 6.188726)","ORIENTE","7","2006","Suicidios","Poblacion total","20,050","0"
"San Francisco","05652","POINT (-75.102069 5.964854)","ORIENTE","7","2006","Suicidios","Poblacion total","5,962","1"
"San Jerónimo","05656","POINT (-75.72792 6.442677)","OCCIDENTE","6","2006","Suicidios","Poblacion total","13,616","1"
"San José de La Montaña","05658","POINT (-75.683472 6.848958)","NORTE","5","2006","Suicidios","Poblacion total","3,271","0"
"San Juan de Urabá","05659","POINT (-76.524538 8.766496)","URABA","9","2006","Suicidios","Poblacion total","16,609","1"
"San Luis","05660","POINT (-74.994436 6.042772)","ORIENTE","7","2006","Suicidios","Poblacion total","13,448","1"
"San Pedro de Los Milagros","05664","POINT (-75.555959 6.461815)","NORTE","5","2006","Suicidios","Poblacion total","19,115","1"
"San Pedro de Urabá","05665","POINT (-76.382921 8.277916)","URABA","9","2006","Suicidios","Poblacion total","27,833","0"
"San Rafael","05667","POINT (-75.028257 6.295426)","ORIENTE","7","2006","Suicidios","Poblacion total","16,600","0"
"San Roque","05670","POINT (-75.019485 6.485044)","NORDESTE","4","2006","Suicidios","Poblacion total","20,903","3"
"San Vicente","05674","POINT (-75.331782 6.282678)","ORIENTE","7","2006","Suicidios","Poblacion total","21,729","0"
"Santa Bárbara","05679","POINT (-75.568167 5.874215)","SUROESTE","8","2006","Suicidios","Poblacion total","28,103","2"
